subj,predicate,obj
blacklight,depends_on,solr
dokieli,depends_on,solid
editoria,depends_on,pubsweet
fulcrum,depends_on,heliotrope
heliotrope,depends_on,hyrax
hykuup,depends_on,hyku
hyrax,depends_on,samvera
libero_producer,depends_on,pubsweet
libero_publisher,depends_on,pubsweet
phenom_reviewer,depends_on,pubsweet
phenom_screener,depends_on,pubsweet
quire,depends_on,hugo
samvera,depends_on,fedora
samvera,depends_on,blacklight
ubiquity_repositories,depends_on,hyku
wax,depends_on,pubsweet
xsweet,depends_on,pubsweet
tectonic,depends_on,c
enhanced_networked_monographs,depends_on,css
enhanced_networked_monographs,depends_on,go
hugo,depends_on,go
quire,depends_on,go
pandoc,depends_on,haskell
enhanced_networked_monographs,depends_on,html
dataverse,depends_on,java
dspace,depends_on,java
fedora,depends_on,java
grobid,depends_on,java
dokieli,depends_on,javascript
editoria,depends_on,javascript
electric_book,depends_on,javascript
enhanced_networked_monographs,depends_on,javascript
epub_js,depends_on,javascript
fidus_writer,depends_on,javascript
haplo_repository,depends_on,javascript
hy-phen,depends_on,javascript
hyphenopoly,depends_on,javascript
hypher,depends_on,javascript
jupiter_notebook,depends_on,javascript
katex,depends_on,javascript
lens,depends_on,javascript
libero_reviewer,depends_on,javascript
manifold_scholarship,depends_on,javascript
mathjax,depends_on,javascript
open_typesetting_stack,depends_on,javascript
paged_js,depends_on,javascript
paperbuzz,depends_on,javascript
phenom_reviewer,depends_on,javascript
phenom_screener,depends_on,javascript
prosemirror,depends_on,javascript
pubpub,depends_on,javascript
pubsweet,depends_on,javascript
rebus_ink,depends_on,javascript
stencila,depends_on,javascript
texture,depends_on,javascript
vega,depends_on,javascript
vivliostyle,depends_on,javascript
wax,depends_on,javascript
zotero,depends_on,javascript
eprints,depends_on,perl
libero_publisher,depends_on,php
lodel,depends_on,php
mukurtu,depends_on,php
ojs_3,depends_on,php
omeka,depends_on,php
open_monograph_press,depends_on,php
pressbooks,depends_on,php
scalar,depends_on,php
enhanced_networked_monographs,depends_on,python
fidus_writer,depends_on,python
hirmeos_oa_metrics,depends_on,python
hypothesis,depends_on,python
invenio,depends_on,python
janeway,depends_on,python
jupiter_notebook,depends_on,python
rua,depends_on,python
shiny,depends_on,r
blacklight,depends_on,ruby
fulcrum,depends_on,ruby
heliotrope,depends_on,ruby
manifold_scholarship,depends_on,ruby
samvera,depends_on,ruby
tectonic,depends_on,rust
readium,depends_on,typescript
le-tex_transpect,depends_on,xproc
le-tex_transpect,depends_on,xslt
xsweet,depends_on,xslt
