id,name,description,notes,created_at,updated_at,slug
3,Application Framework,,Framework for building applications/systems,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,framework
11,Base Technology,e.g. Programming Language,,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,base_tech
1,Codebase,Source code (open source),,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,codebase
2,Component,,"Software library or plugin, a comonent to be used in another tool or system",2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,component
5,Project,Project without a significant software or service output,,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,project
6,Script,,"e.g. ""glue code"" integrating two or more functions from one or more tools or services",2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,script
7,Service,Instance of running code,,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,service
4,Software Package,Packaged software (typically for the desktop or mobile),,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,package
8,Standard,"Standard, protocol or application profile","Formally recognised information standard, or profile of a technology - e.g. a profile of a standard or protocol to constrain it to a particular use case or domain",2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,standard
9,System,,System providing a platform or environment with broad range of complementary functions. Note this is the system in the abstract sense - for actual running instances see 'services'.,2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,system
10,Tool,,"Piece of software providing single function, or narrow and highly integrated set of functions",2020-04-16 14:18:27 UTC,2020-04-16 14:18:27 UTC,tool
