technology_id,function_id
content_mine,reader_tools
content_mine,data_mining
content_mine,discovery
dokieli,publishing
dokieli,annotation
dokieli,social
editoria,creation
editoria,workflow
electric_book,publishing
electric_book,formatting
enhanced_networked_monographs,reader_tools
enhanced_networked_monographs,discovery
epub_js,reader_tools
fidus_writer,creation
fidus_writer,annotation
fidus_writer,workflow
fulcrum,reader_tools
fulcrum,annotation
fulcrum,discovery
fulcrum,preservation
grobid,format_conversion
hirmeos_oa_metrics,metrics
hy-phen,formatting
hyphenopoly,formatting
hypher,formatting
hypothesis,reader_tools
hypothesis,annotation
hyrax,ingest
hyrax,submission
hyrax,workflow
hyrax,publishing
hyrax,preservation
hyrax,discovery
janeway,publishing
janeway,preservation
jupiter_notebook,creation
katex,formatting
le-tex_transpect,format_conversion
lens,reader_tools
libero_producer,creation
libero_publisher,publishing
libero_reviewer,workflow
lodel,submission
lodel,format_conversion
lodel,publishing
manifold_scholarship,publishing
manifold_scholarship,annotation
mathjax,formatting
mukurtu,publishing
mukurtu,discovery
omeka,publishing
open_monograph_press,workflow
open_monograph_press,publishing
open_monograph_press,submission
open_typesetting_stack,format_conversion
open_typesetting_stack,ingest
osf_preprints,publishing
osf_preprints,submission
osf_preprints,preservation
osf_preprints,ingest
paged_js,formatting
pandoc,format_conversion
paperbuzz,metrics
phenom_reviewer,workflow
phenom_reviewer,ingest
pressbooks,publishing
prosemirror,creation
pubpub,creation
pubpub,publishing
quire,publishing
readium,reader_tools
rebus_ink,reader_tools
rua,publishing
scalar,creation
scalar,reader_tools
scalar,publishing
scalar,workflow
shiny,creation
stencila,creation
tectonic,formatting
texture,creation
vega,creation
vega,publishing
vega,workflow
vivliostyle,formatting
wax,creation
xsweet,ingest
xsweet,format_conversion
zotero,reader_tools
